route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible
"11-Ska-mjp-1","T3","7.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","7.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T0","8.T0.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","8.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T3","8.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","8.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T0","9.T0.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T2","9.T2.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","T3","9.T3.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-Ska-mjp-1","UW","9.UW.11-Ska-mjp-1.2.R","11-Ska-mjp-1.2.R","Avalon Airport","1","","1"
"11-SKY-mjp-1","T0","1.T0.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
"11-SKY-mjp-1","T2","1.T2.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
"11-SKY-mjp-1","T3","1.T3.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
"11-SKY-mjp-1","UW","1.UW.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
"11-SKY-mjp-1","T0","10.T0.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
"11-SKY-mjp-1","T2","10.T2.11-SKY-mjp-1.1.H","11-SKY-mjp-1.1.H","City","0","","2"
