pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional,traversal_time
"vic:rail:MER_DP2_vic:rail:MER_DP3_walkway_1","vic:rail:MER_DP2","vic:rail:MER_DP3","1","1","30"
"vic:rail:NRM_EN1_vic:rail:NRM_DP1_walkway_1","vic:rail:NRM_EN1","vic:rail:NRM_DP1","1","1","90"
"vic:rail:NRM_EN2_26246_walkway_1","vic:rail:NRM_EN2","26246","1","1","192"
"vic:rail:NRM_EN2_vic:rail:NRM_DP1_walkway_1","vic:rail:NRM_EN2","vic:rail:NRM_DP1","1","1","120"
"vic:rail:NRM_EN3_vic:rail:NRM_DP2_walkway_1","vic:rail:NRM_EN3","vic:rail:NRM_DP2","1","1","120"
"vic:rail:NRM_EN4_26246_walkway_1","vic:rail:NRM_EN4","26246","1","1","168"
"vic:rail:NRM_EN4_vic:rail:NRM_DP2_walkway_1","vic:rail:NRM_EN4","vic:rail:NRM_DP2","1","1","120"
"vic:rail:NRM_DP1_14336_walkway_1","vic:rail:NRM_DP1","14336","1","1","6"
"vic:rail:NRM_DP1_vic:rail:NRM_DP3_walkway_1","vic:rail:NRM_DP1","vic:rail:NRM_DP3","1","1","126"
"vic:rail:NRM_DP1_vic:rail:NRM_DP4_walkway_1","vic:rail:NRM_DP1","vic:rail:NRM_DP4","1","1","120"
"vic:rail:NRM_DP2_14337_walkway_1","vic:rail:NRM_DP2","14337","1","1","6"
"vic:rail:NRM_DP2_vic:rail:NRM_DP5_walkway_1","vic:rail:NRM_DP2","vic:rail:NRM_DP5","1","1","120"
"vic:rail:NRM_DP2_vic:rail:NRM_DP6_walkway_1","vic:rail:NRM_DP2","vic:rail:NRM_DP6","1","1","120"
"vic:rail:NRM_DP3_vic:rail:NRM_DP5_walkway_1","vic:rail:NRM_DP3","vic:rail:NRM_DP5","1","1","30"
"vic:rail:NRM_DP4_vic:rail:NRM_DP6_walkway_1","vic:rail:NRM_DP4","vic:rail:NRM_DP6","1","1","30"
"vic:rail:NCE_PR1_vic:rail:NCE_EN2_walkway_1","vic:rail:NCE_PR1","vic:rail:NCE_EN2","1","1","18"
"vic:rail:NCE_EN1_26248_walkway_1","vic:rail:NCE_EN1","26248","1","1","72"
"vic:rail:NCE_EN1_15387_walkway_1","vic:rail:NCE_EN1","15387","1","1","90"
"vic:rail:NCE_EN2_15387_walkway_1","vic:rail:NCE_EN2","15387","1","1","54"
"vic:rail:NCE_EN2_vic:rail:NCE_DP1_walkway_1","vic:rail:NCE_EN2","vic:rail:NCE_DP1","1","1","54"
"vic:rail:NCE_EN3_26248_walkway_1","vic:rail:NCE_EN3","26248","1","1","138"
"vic:rail:NCE_EN3_15388_walkway_1","vic:rail:NCE_EN3","15388","1","1","12"
"vic:rail:NCE_EN3_vic:rail:NCE_DP3_walkway_1","vic:rail:NCE_EN3","vic:rail:NCE_DP3","1","1","72"
"vic:rail:NCE_EN4_15388_stairs_1","vic:rail:NCE_EN4","15388","2","1","12"
"vic:rail:NCE_EN4_vic:rail:NCE_DP3_walkway_1","vic:rail:NCE_EN4","vic:rail:NCE_DP3","1","1","60"
"vic:rail:NCE_DP1_vic:rail:NCE_DP2_walkway_1","vic:rail:NCE_DP1","vic:rail:NCE_DP2","1","1","54"
"vic:rail:NCE_DP2_vic:rail:NCE_DP3_walkway_1","vic:rail:NCE_DP2","vic:rail:NCE_DP3","1","1","30"
"vic:rail:REG_PR1_vic:rail:REG_EN4_walkway_1","vic:rail:REG_PR1","vic:rail:REG_EN4","1","1","288"
"vic:rail:REG_PR1_vic:rail:REG_EN5_walkway_1","vic:rail:REG_PR1","vic:rail:REG_EN5","1","1","126"
